ID,Weapon Name,Weapon Type,Affinity,Weapon Type Column,Affinity Column,Default Ash of War,Can Apply Ash of War,Ash of War 1,Ash of War 2,Ash of War 3,Ash of War 4,Ash of War 5,Ash of War 6,Ash of War 7,Ash of War 8,Ash of War 9,Ash of War 10,Ash of War 11,Ash of War 12,Ash of War 13,Ash of War 14,Ash of War 15,Ash of War 16,Ash of War 17,Ash of War 18,Ash of War 19,Ash of War 20,Ash of War 21,Ash of War 22,Ash of War 23,Ash of War 24,Ash of War 25,Ash of War 26,Ash of War 27,Ash of War 28,Ash of War 29,Ash of War 30,Ash of War 31,Ash of War 32,Ash of War 33,Ash of War 34,Ash of War 35,Ash of War 36,Ash of War 37,Ash of War 38,Ash of War 39,Ash of War 40,Ash of War 41,Ash of War 42,Ash of War 43,Ash of War 44,Ash of War 45,Ash of War 46,Ash of War 47,Ash of War 48,Ash of War 49,Ash of War 50,Ash of War 51,Ash of War 52,Ash of War 53,Ash of War 54,Ash of War 55,Ash of War 56
2210400,Cane Sword,Straight Sword,Fire,P,F,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210500,Cane Sword,Straight Sword,Flame Art,P,G,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210600,Cane Sword,Straight Sword,Lightning,P,H,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2210700,Cane Sword,Straight Sword,Sacred,P,I,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2210800,Cane Sword,Straight Sword,Magic,P,J,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Glintstone Pebble,Gravitas,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2210900,Cane Sword,Straight Sword,Cold,P,K,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Glintstone Pebble,Gravitas,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2211000,Cane Sword,Straight Sword,Poison,P,L,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2211100,Cane Sword,Straight Sword,Blood,P,M,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2211200,Cane Sword,Straight Sword,Occult,P,N,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2220000,Regalia of Eochaid,Straight Sword,-,P,AW,Eochaid's Dancing Blade,No,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230000,Noble's Slender Sword,Straight Sword,Standard,P,B,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2230100,Noble's Slender Sword,Straight Sword,Heavy,P,C,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2230200,Noble's Slender Sword,Straight Sword,Keen,P,D,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2230300,Noble's Slender Sword,Straight Sword,Quality,P,E,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2230400,Noble's Slender Sword,Straight Sword,Fire,P,F,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230500,Noble's Slender Sword,Straight Sword,Flame Art,P,G,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230600,Noble's Slender Sword,Straight Sword,Lightning,P,H,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2230700,Noble's Slender Sword,Straight Sword,Sacred,P,I,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2230800,Noble's Slender Sword,Straight Sword,Magic,P,J,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Glintstone Pebble,Gravitas,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2230900,Noble's Slender Sword,Straight Sword,Cold,P,K,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Glintstone Pebble,Gravitas,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2231000,Noble's Slender Sword,Straight Sword,Poison,P,L,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2231100,Noble's Slender Sword,Straight Sword,Blood,P,M,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2231200,Noble's Slender Sword,Straight Sword,Occult,P,N,Square Off,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2240000,Warhawk's Talon,Straight Sword,Standard,P,B,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2240100,Warhawk's Talon,Straight Sword,Heavy,P,C,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2240200,Warhawk's Talon,Straight Sword,Keen,P,D,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2240300,Warhawk's Talon,Straight Sword,Quality,P,E,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,
2240400,Warhawk's Talon,Straight Sword,Fire,P,F,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240500,Warhawk's Talon,Straight Sword,Flame Art,P,G,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240600,Warhawk's Talon,Straight Sword,Lightning,P,H,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2240700,Warhawk's Talon,Straight Sword,Sacred,P,I,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Stormcaller,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2240800,Warhawk's Talon,Straight Sword,Magic,P,J,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Glintstone Pebble,Gravitas,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2240900,Warhawk's Talon,Straight Sword,Cold,P,K,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Repeating Thrust,Double Slash,Square Off,Spinning Weapon,Stormcaller,Sword Dance,Glintblade Phalanx,Glintstone Pebble,Gravitas,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,
2241000,Warhawk's Talon,Straight Sword,Poison,P,L,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2241100,Warhawk's Talon,Straight Sword,Blood,P,M,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2241200,Warhawk's Talon,Straight Sword,Occult,P,N,Spinning Slash,Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Square Off,Poison Moth Flight,Stormcaller,Sword Dance,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,
2250000,Lazuli Glintstone Sword,Straight Sword,-,P,AW,Glintstone Pebble,No,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260000,Rotten Crystal Sword,Straight Sword,-,P,AW,Spinning Slash,No,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000000,Bastard Sword,Greatsword,Standard,Q,B,Stamp (Upward Cut),Yes,Lion's Claw,Impaling Thrust,Piercing Fang,Spinning Slash,Stamp (Upward Cut),Stamp (Sweep),Blood Tax,Repeating Thrust,Wild Strikes,Double Slash,Giant Hunt,Stormcaller,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Eruption,Gravitas,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Poisonous Mist,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Seppuku,Cragblade,Barbaric Roar,War Cry,Beast's Roar,Troll's Roar,Braggart's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,
