Name,Type,Icon,Info,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Base Poison Build-up,Base Rot Build-up,Base Blood Build-up,Base Frost Build-up,Base Sleep Build-up,Base Death Blight Build-up,Base Death Blight Build-up (Charged),Base Madness Build-up,Base Madness Build-up (Charged),Base Madness Build-up (Self),Base Madness Build-up (Self; Charged),Damage Boosted By 1,Damage Boosted By 2,Weapon Buff,Shield Buff,Drop Type,Achievement,Usable while Riding,Item Type,ID,Icon ID,AtkParam ID,SpEffect Category,Conditional Weapon Effect,Sort Group ID,Sort ID
Meteorite of Astel,Sorcery,#REF!,Calls a hail of small meteorites from the void,"One of the glintstone sorceries that manipulates gravitational forces.

Summons a void that emits a hail of meteorites.
Hold to continue the effect.

A manifestation of the power with which Astel leveled the Eternal City.",55,0,0,2,60,12,40,-,-,-,-,-,-,-,-,-,-,-,Meteorite Staff,-,No,No,Purple,No,No,5,4701,06042,47011,3,11,50,257040
Oracle Bubbles,Sorcery,#REF!,Launches several small magic bubbles,"Sorcery of the claymen who served as priests in the ancient dynasty.

Produces several small magical bubbles that drift towards foes before they naturally pop.
Charging increases the delay before the bubbles pop.

The claymen search for lost oracles within their bubbles.",19,0,15,1,12,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,5100,06607,51005,3,0,50,258000
Great Oracular Bubble,Sorcery,#REF!,Launches a large magic bubble,"Sorcery of the claymen who served as priests in the ancient dynasty.

Produces a gigantic magical bubble that drifts towards foes before it naturally ruptures.
Charging increases the delay before the bubble pops.

The claymen search for lost oracles within their bubbles.",25,0,18,1,16,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,5110,06608,51015,3,0,50,258010
Briars of Sin,Sorcery,#REF!,Summons thorns from a whorl of own blood,"An aberrant sorcery discovered by exiled criminals.
Theirs are the sorceries most reviled by the academy.

Wounds the caster with thorns of sin, creating a spiral of bloodthorns.
This sorcery can be cast repeatedly, up to three times.

The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",0,24,0,1,6,-,26,-,-,95,-,-,-,-,-,-,-,-,Staff of the Guilty,-,No,No,White,No,No,5,4900,06046,49002,3,9,50,259000
Briars of Punishment,Sorcery,#REF!,Wounds caster to unleash trail of bloodthorns,"An aberrant sorcery discovered by exiled criminals.
Theirs are the sorceries most reviled by the academy.

Wounds the caster with thorns of punishment, sending a trail of bloodthorns running over the ground to impale enemies from below.
This sorcery can be cast repeatedly.

The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",0,21,0,1,9,-,22,-,-,72,-,-,-,-,-,-,-,-,Staff of the Guilty,-,No,No,Purple,No,No,5,4910,06047,49101,3,9,50,259010
Rancorcall,Sorcery,#REF!,Summons vengeful spirits that chase down foes,"Sorcery of the servants of Death.

Summons vengeful spirits that chase down foes.
Charging enhances potency.

Once thought lost, this ancient death hex was rediscovered by the necromancer Garris.",16,14,0,1,12,-,21,-,-,-,-,-,-,-,-,-,-,-,Prince of Death's Staff,-,No,No,White,No,Yes,5,5000,06048,50005,3,10,60,260000
Ancient Death Rancor,Sorcery,#REF!,Summons horde of vengeful spirits that chase down foes,"Sorcery of the servants of Death.

Summons a horde of vengeful spirits that chase down foes. Charging enhances potency.

They are cinders of the ancient death hex, raked from the fires of ghostflame by Deathbirds.",34,24,0,1,21,-,27,-,-,-,-,-,-,-,-,-,-,-,Prince of Death's Staff,-,No,No,Purple,No,Yes,5,5001,06049,50016,3,10,60,260010
Explosive Ghostflame,Sorcery,#REF!,Causes ghostflame explosion that burns wide area,"Sorcery of the servants of Death.

Strike the ground with the staff, triggering an explosion of ghostflame that burns the surrounding area.

In the time when there was no Erdtree, death was burned in ghostflame. Deathbirds were the keepers of that fire.",42,30,0,1,29,-,45,-,-,-,130 and 38,-,-,-,-,-,-,-,Prince of Death's Staff,-,No,No,Purple,No,No,5,5010,06053,50101,3,10,60,260020
Fia's Mist,Sorcery,#REF!,Releases a mist of death before caster,"Sorcery of Fia, the Deathbed Companion.

Creates a deathly mist before the caster, which inflicts Death blight upon those who enter.
This sorcery can be cast while in motion. Charging enhances range of the mist.

This sorcery was developed to oppose the Roundtable Hold, and is effective only against the Tarnished.",23,18,0,1,25,-,13,-,-,-,-,-,20,-,-,-,-,-,Prince of Death's Staff,-,No,No,Purple,No,Yes,17,5020,06054,-,3,10,60,260030
Tibia's Summons,Sorcery,#REF!,Summons Those Who Live in Death,"Sorcery of the servants of Death.

Summons a group of Those Lost in Death.
Three skeletons will appear some distance from the caster and attack foes before disappearing.

The dead have long been left to wander; what they need is leadership. ",28,20,0,1,17,-,27,-,-,-,-,-,-,-,-,-,-,-,Prince of Death's Staff,-,No,No,Purple,No,No,5,5030,06099,50300,3,10,60,260040
Urgent Heal,Incantation,#REF!,Heals a small amount of HP,"Incantation of the Two Fingers' faithful.

Heals a small amount of HP.
This incantation can be cast while in motion.

The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,8,0,1,16,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6420,06300,-,4,0,10,300000
Heal,Incantation,#REF!,Heals HP for self and nearby allies,"Incantation of the Two Fingers' faithful.

Heals HP for the caster and nearby allies.
Hold to continue praying and delay activation.

The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,12,0,1,32,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6421,06301,-,4,0,10,300010
Great Heal,Incantation,#REF!,Greatly heals HP for self and nearby allies,"Superior incantation of the Two Fingers' faithful.

Greatly heals HP for the caster and nearby allies.
Hold to continue praying and delay activation.

The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,15,0,1,45,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6422,06505,-,4,0,10,300020
Lord's Heal,Incantation,#REF!,Massively heals HP for self and nearby allies,"Incantation bestowed by the Two Fingers upon the Tarnished deemed worthy of becoming a lord.

Heals a massive amount of HP for the caster and nearby allies.
Hold to continue praying and delay activation.

Tarnished—O, Tarnished! Seek the Erdtree and stand before Marika, its Queen. Become the Elden Lord!",0,20,0,1,55,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,18,6423,06506,-,4,0,10,300030
Cure Poison,Incantation,#REF!,Alleviates poison buildup and cures poison,"Incantation of the Two Fingers' faithful.

Alleviates poison buildup and cures poison.
This incantation can be cast while in motion.

The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,10,0,1,7,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6440,06057,-,4,0,10,300040
Lord's Aid,Incantation,#REF!,Alleviates poison/blood loss/sleep buildup for self/allies,"Incantation bestowed by the Two Fingers upon the Tarnished deemed worthy of becoming a lord.

Alleviates buildup of poison, blood loss, and sleep for the caster and nearby allies. Additionally, cures poison.

Hold to continue praying and delay activation.",0,12,0,1,12,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,18,6441,06058,-,4,0,10,300050
Magic Fortification,Incantation,#REF!,Increases magic damage negation,"Incantation of the Two Fingers' faithful.

Increases magic damage negation.
This incantation can be cast while in motion.

Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6460,06708,-,4,0,10,300060
Flame Fortification,Incantation,#REF!,Increases fire damage negation,"Incantation of the Two Fingers' faithful.

Increases fire damage negation.
This incantation can be cast while in motion.

Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6450,06707,-,4,0,10,300070
Lightning Fortification,Incantation,#REF!,Increases lightning damage negation,"Incantation of the Two Fingers' faithful.

Increases lightning damage negation.
This incantation can be cast while in motion.

Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6470,06709,-,4,0,10,300080
Divine Fortification,Incantation,#REF!,Increases holy damage negation,"Incantation of the Two Fingers' faithful.

Increases holy damage negation.
This incantation can be cast while in motion.

Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6480,06710,-,4,0,10,300090
Lord's Divine Fortification,Incantation,#REF!,Greatly increases holy damage negation incl. allies,"Incantation taught to Gideon the All-Knowing by the Two Fingers.

Greatly increases holy damage negation for the caster and nearby allies.
Hold to continue praying and delay activation.

Gideon gained true knowledge after his long exchange with the Two Fingers—discovering all had been broken long ago; that the trembling fingers, bent with age, and the Erdtree itself, were no exception.",0,27,0,1,30,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,18,6490,06711,-,4,0,10,300100
Rejection,Incantation,#REF!,Produces a shockwave that pushes away foes,"Incantation of the Two Fingers' faithful.

Produces a shockwave that knocks back nearby foes.
Charging increases the size of the shockwave.

Hark, Tarnished! If you truly walk in faith, you must be prepared to reject all else.",0,12,0,1,9,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,16,6400,06250,64005,4,0,10,300110
Shadow Bait,Incantation,#REF!,Creates shadow that lures the aggression of foes of human build,"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold.

Creates a pale gold shadow before the caster, luring foes of human build and attracting their aggression.
This incantation can be cast while in motion or crouching, and will still affect foes that are already in a combat state.

It is said that those beguiled by the shadow see within it a hated foe.",0,13,0,1,15,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6520,06313,-,4,0,10,301000
Darkness,Incantation,#REF!,Creates area of darkness that conceals caster,"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold.

Creates a veil of darkness that conceals the caster.
This incantation can be cast while in motion or crouching.

The assassins were themselves once Tarnished who had strayed from guidance, and they pursued their duty in the darkness that is without grace.",0,18,0,1,24,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6530,06059,-,4,0,10,301010
Assassin's Approach,Incantation,#REF!,"Silences footsteps, reduces fall damage/sound","Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold.

Completely silences the footsteps of the caster. Additionally, reduces fall damage and the sound produced by falling.
This incantation can be cast while in motion or crouching.

The assassins were charged with eliminating Tarnished who had strayed from guidance.",0,10,0,1,15,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6510,06312,-,4,0,10,301020
Golden Vow,Incantation,#REF!,Increases attack and defense for self and allies,"An incantation of Erdtree Worship.

Increases attack power and defense for the caster and nearby allies.
Hold to continue praying and delay activation.

This incantation has been taught to knights of the royal capital for generations, and knights sent on distant expeditions lean on it as a source of courage.",0,25,0,1,47,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6600,06504,-,4,0,20,302000
Barrier of Gold,Incantation,#REF!,Greatly increases magic damage negation for self & allies,"One of the incantations of Erdtree Worship.

Greatly increases magic damage negation for the caster and nearby allies.
Hold to continue praying and delay activation.

This incantation was used by the champions of the Erdtree in the First and Second Liurnian Wars, during which the red-haired Radagon joined the heroes' ranks.",0,24,0,1,30,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6330,06311,-,4,0,20,302010
Golden Lightning Fortification,Incantation,#REF!,Greatly increases lightning resistance for self and allies,"An incantation of Erdtree Worship.

Greatly increases lightning damage negation for the caster and nearby allies.
Hold to continue praying, delaying the effect.

This incantation was used by the knights of the Erdtree during the assault by the great ancient dragon Gransax, and the bitter War of the Ancient Dragons that followed.",0,24,0,1,30,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,7903,06706,-,4,0,20,302020
Protection of the Erdtree,Incantation,#REF!,Increases affinity damage negation for self & allies,"A superior incantation of Erdtree Worship.

Increase damage negation for all affinities except physical, for both the caster and nearby allies.
Hold to continue praying and delay activation.

In the beginning, everything was in opposition to the Erdtree. But through countless victories in war, it became the embodiment of Order.",0,35,0,1,30,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,18,6340,06255,-,4,0,20,302030
Wrath of Gold,Incantation,#REF!,Produces golden shockwave that knocks back foes,"Superior Erdtree Worship incantation.

Produces a golden shockwave that knocks back nearby foes.
Charging increases the size of the shockwave.

This incantation was discovered when the Elden Ring was shattered, and it was feared as a sign of the Erdtree's wrath.",0,32,0,1,40,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,16,6410,06251,64105,4,0,20,302040
Erdtree Heal,Incantation,#REF!,Vastly heals HP for self and nearby allies,"One of the ancient Erdtree incantations.

Heals a vast amount of HP for the caster and nearby allies.
Hold to continue praying and delay activation.

The Erdtree once flourished with abundance—yet it was only for a fleeting moment. Such is the course of all life.",0,42,0,1,65,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,18,6424,06302,-,4,0,20,303000
Blessing's Boon,Incantation,#REF!,Grants blessing to self and nearby allies,"One of the ancient Erdtree incantations.

Grants a blessing to the caster and nearby allies, gradually restoring HP.
Hold to continue praying and delay activation.

Blessings once fell like tears from the Erdtree, and this incantation is but a lingering remnant of their power.",0,24,0,1,30,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,6430,06304,-,4,0,20,303010
Blessing of the Erdtree,Incantation,#REF!,Grants greater blessing to self and nearby allies,"One of the ancient Erdtree incantations.

Grants a greater blessing to the caster and nearby allies, gradually restoring a large amount of HP.
Hold to continue praying and delay activation.

The Erdtree once flourished with abundance—yet it was only for a fleeting moment. Such is the course of all life.",0,38,0,1,60,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,18,6431,06305,-,4,0,20,303020
Aspects of the Crucible: Breath,Incantation,#REF!,Creates throat pouch to spew fire while walking,"One of the ancient Erdtree incantations.

Creates a throat pouch on the caster's neck, allowing them to spew fiery breath while walking.
Charging increases duration of the breath.

This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",0,27,0,1,28,4,40,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,No,16,7520,06615,75200,4,28,20,303030
Aspects of the Crucible: Tail,Incantation,#REF!,Creates supple tail to sweep area before caster,"One of the ancient Erdtree incantations.

Creates a supple tail that sweeps through foes before the caster.
Charging enhances potency.

This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",0,27,0,1,20,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,No,16,7500,06613,75005,4,28,20,303040
Aspects of the Crucible: Horns,Incantation,#REF!,Creates shoulder horn to gore foes from low stance,"One of the ancient Erdtree incantations.

Creates a mighty horn on the caster's shoulder to gore foes from a low stance.
Charging allows the caster to barrel into foes before delivering the final attack.

This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",0,27,0,1,18,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,No,16,7510,06614,75106,4,28,20,303050
Elden Stars,Incantation,#REF!,Creates a stream of golden shooting stars that assail the area,"This legendary incantation is the most ancient of those that derive from the Erdtree.

Creates a stream of golden shooting stars that assail the area.

It is said that long ago, the Greater Will sent a golden star bearing a beast into the Lands Between, which would later become the Elden Ring.",0,50,0,2,41,-,48,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Gold,Yes,Yes,16,6720,06063,67202,4,0,20,303060
Black Blade,Incantation,#REF!,Black blade spinning slash that emits wave of light,"Power gleaned from the remembrance of Maliketh.

Caster creates an illusory black blade, then leaps forward to deliver a spinning slash that emits a wave of light.
This can be followed up with one additional attack.

This blade was once imbued with Destined Death. In addition to dealing damage, it reduces foes' maximum HP and continues to sap their current HP for a very short time.",0,46,0,2,26,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Gold,No,No,16,7530,06712,75307,4,0,20,303070
Discus of Light,Incantation,#REF!,Fires ring of light before the caster,"One of the incantations of the Golden Order fundamentalists.

Produces a ring of light and fires it forwards. The ring of light returns to a position close to the caster before disappearing.
This incantation can be cast repeatedly.

A gift from the young Miquella to his father, Radagon.",13,13,0,1,3,-,20,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,No,White,No,Yes,16,6700,06252,67003,4,24,20,304000
Triple Rings of Light,Incantation,#REF!,Fires three rings of light before the caster,"One of the incantations of the Golden Order fundamentalists.

Produces three rings of light and fires them forwards. The rings of light return to a position close to the caster before disappearing.
This incantation can be cast repeatedly.

A gift from the young Miquella to his father, Radagon.",23,23,0,1,23,-,28,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,No,White,No,Yes,16,6701,06061,67014,4,24,20,304010
Radagon's Rings of Light,Incantation,#REF!,Creates golden ring of light to attack wide area,"One of the incantations of the Golden Order fundamentalists.
A gift of gratitude to the young Miquella from his father, Radagon.

Produces a golden ring of light and fires it across a wide area.
Charging enhances range.

And yet, the young Miquella abandoned fundamentalism, for it could do nothing to treat Malenia's accursed rot. This was the beginning of unalloyed gold.",31,31,0,1,21,-,37,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,No,White,No,Yes,16,6710,06062,67105,4,24,20,304020
Litany of Proper Death,Incantation,#REF!,Creates image of Order to deal holy damage,"One of the incantations of the Golden Order fundamentalists.
Used by hunters of Those Who Live in Death.

Creates an image of Order, dealing holy damage to nearby foes. This incantation is especially damaging to Those Who Live in Death. Any felled by this incantation cannot be revived.

The role of the hunters is to stamp out defiled reason—all for the perfection of the Golden Order.",17,17,0,1,17,-,28,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,No,White,No,Yes,16,6750,06256,67500,4,24,20,304030
Order Healing,Incantation,#REF!,Alleviates death blight buildup,"One of the incantations of the Golden Order fundamentalists.
Used by hunters of Those Who Live in Death.

Alleviates death blight buildup.

The noble Goldmask lamented what had become of the hunters. How easy it is for learning and learnedness to be reduced to the ravings of fanatics; all the good and the great wanted, in their foolishness, was an absolute evil to contend with.

Does such a notion exist in the fundamentals of Order?",11,11,0,1,15,-,10,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,No,White,No,Yes,18,6780,06068,-,4,24,20,304040
Order's Blade,Incantation,#REF!,Enchants right-hand armament with holy damage,"One of the incantations of the Golden Order fundamentalists.
Used by hunters of Those Who Live in Death.

Enchants armament held in the right hand with holy-affinity attacks. This incantation is especially damaging to Those Who Live in Death. Any felled by this incantation cannot be revived.

The role of the hunters is to stamp out defiled reason—all for the perfection of the Golden Order.",13,13,0,1,22,-,10,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,Yes,No,White,No,No,18,6770,06067,-,4,24,20,304050
Immutable Shield,Incantation,#REF!,Increases left-hand shield's affinity/ailment resistance,"One of the incantations of the Golden Order fundamentalists.

Enchants shield held in the left hand with the light of regression, increasing all forms of non-physical damage negation and ailment resistance.

Two concepts form the basis for Golden Order fundamentalism. One is the law of regression, to which this incantation relates.",19,19,0,1,15,-,10,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,Yes,White,No,No,18,6740,06065,-,4,24,20,304060
Law of Causality,Incantation,#REF!,Retaliates upon receiving a number of blows,"One of the incantations of the Golden Order fundamentalists.
One of the key fundamentals.

Manifests a small ring of causality within that allows the caster to automatically retaliate upon receiving a certain number of blows.

The fundamentalists describe the Golden Order through the powers of regression and causality. Causality is the pull between meanings; that which links all things in a chain of relation.",29,0,0,1,22,-,20,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,No,Purple,No,Yes,18,6760,06066,-,4,24,20,304070
Law of Regression,Incantation,#REF!,Heals all ailments and dispels all special effects,"Incantation of the Golden Order fundamentalists.
One of the key fundamentals.

Heals all negative statuses, dispels special effects, and reveals mimicry in all its forms.

The fundamentalists describe the Golden Order through the powers of regression and causality. Regression is the pull of meaning; that all things yearn eternally to converge.",37,0,0,1,55,-,50,-,-,-,-,-,-,-,-,-,-,-,Golden Order Seal,-,No,No,Purple,No,Yes,18,6730,06064,-,4,24,20,304080
Lightning Spear,Incantation,#REF!,Hurls lightning spear before caster,"One of the incantations of the capital's ancient dragon cult.

Summons a lightning spear and hurls it before the caster.
Charging causes a lightning bolt to strike the point of impact.

Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe—an event that gave rise to the ancient dragon cult in the capital.",0,17,0,1,18,-,28,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,White,No,Yes,16,6900,06406,69006,4,22,30,305000
Lightning Strike,Incantation,#REF!,Summons lightning bolt that spreads from impact,"One of the incantations of the capital's ancient dragon cult.

Summons a bolt of lightning that scatters and spreads around the surrounding area.
This incantation can be cast repeatedly.

Ancestors of the modern dragons, the ancient dragons had scales of Gravel Stone and wielded lightning as their weapon. It is said that once they attacked Leyndell, the Royal Capital.",0,28,0,1,19,-,32,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,White,No,Yes,16,6920,06408,69201,4,22,30,305010
Honed Bolt,Incantation,#REF!,Strikes foe with lightning bolt from above,"One of the incantations of the capital's ancient dragon cult.

Summons a bolt of lightning to strike foes from above.
This incantation can be cast repeatedly.

Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe—an event that gave rise to the ancient dragon cult in the capital.",0,24,0,1,12,-,29,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,White,No,Yes,16,6930,06073,69301,4,22,30,305020
Ancient Dragons' Lightning Spear,Incantation,#REF!,Stabs with red lightning spear from above,"A secret incantation of the capital's ancient dragon cult.

Creates a spear of red lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning covering the area.

Spoken of in legend, red lightning is the weapon wielded by the ancient dragons.",0,32,0,1,25,-,29,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,Purple,No,No,16,6940,06074,69402,4,22,30,305030
Ancient Dragons' Lightning Strike,Incantation,#REF!,Summons red lightning that spreads from impact,"A secret incantation of the capital's ancient dragon cult.

Summons a red bolt of lightning that scatters and spreads around the surrounding area.
Charging enhances the range of the lightning bolt.

Spoken of in legend, red lightning is the weapon wielded by the ancient dragons.",0,26,0,1,36,-,31,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,Purple,No,Yes,16,6910,06069,69106,4,22,30,305040
Lansseax's Glaive,Incantation,#REF!,Sweeps from above with red lightning glaive,"Incantation that channels the power of the ancient dragon Lansseax.

Creates a red-lightning glaive and sweeps the area from above. This attack unleashes trails of lightning.

Lansseax was the sister of Fortissax. It is said that she took the form of a human to commune with the knights as a priestess of the ancient dragon cult.",0,40,0,1,22,-,45,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,Purple,No,No,16,6950,06076,69502,4,22,30,305050
Fortissax's Lightning Spear,Incantation,#REF!,Stabs from above with two red lightning spears in tandem,"Incantation that channels the power of the ancient dragon Fortissax.

Creates two spears of red lightning and stabs them into the ground from above, one after another. On impact, each spear will burst into trails of lightning covering the area.

During the War of the Ancient Dragons, these twin red lightning stakes were the hallmark of one ancient dragon who was called the mightiest boulderstone.",0,46,0,1,35,-,42,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,Gold,No,No,16,6941,06075,69417,4,22,30,305060
Frozen Lightning Spear,Incantation,#REF!,Stabs with ice lightning spear from above,"Incantation that channels the power of the Dragonkin Soldiers.

Creates a spear of ice lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning advancing forwards.

The Dragonkin were born in the Eternal City, where they knew no true sky, nor true lightning. Instead, ice lightning was their weapon.",0,34,0,1,29,-,39,-,-,-,120,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,White,No,No,16,6921,06072,69211,4,22,30,305070
Death Lightning,Incantation,#REF!,Strikes surroundings with storm of death lightning,"Incantation that channels the power of the ancient dragon Fortissax, now corrupted by Death.

Strikes surroundings with a storm of Death lightning.
Inflicts Death blight upon foes.
Charging extends duration of the storm.

It said that this golden lightning was wielded by Godwyn, who befriended Fortissax.",0,47,0,2,28,-,32,-,-,-,-,-,30,50,-,-,-,-,Gravel Stone Seal,-,No,No,Gold,No,Yes,16,5040,06104,50407,4,22,30,305080
Electrify Armament,Incantation,#REF!,Enchants right-hand armament with lightning damage,"One of the incantations of the capital's ancient dragon cult.

Enchants armament held in the right hand with lightning-affinity attacks.

Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe—an event that gave rise to the ancient dragon cult in the capital.",0,15,0,1,27,-,10,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,Yes,No,White,No,No,18,6960,06077,-,4,22,30,305090
Dragonbolt Blessing,Incantation,#REF!,Bolsters caster's body with lightning,"Superior incantation of the capital's ancient dragon cult.

Summons lightning to bolster the caster's body. Attacks become easier to deflect and resistance to all ailments is increased. However, lightning damage negation will be reduced.

Only those loved by dragons can survive the ordeal of cladding their bodies in lightning.",0,21,0,1,20,-,20,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,White,No,Yes,18,6971,06079,-,4,22,30,305100
Vyke's Dragonbolt,Incantation,#REF!,Bolsters right-hand armament & body with red lightning,"Incantation of Vyke, knight of the Roundtable Hold.

Summons red lightning to bolster both the caster's body and their armament held in the right hand. Enchants armament with lightning-affinity attacks and increases maximum equipment load. However, lightning damage negation will be reduced.

Of all the knights, Vyke the Dragonspear was the one Lansseax loved the most.",0,23,0,1,35,-,20,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,Yes,No,Purple,No,No,18,6970,06078,-,4,22,30,305110
Catch Flame,Incantation,#REF!,Momentarily sparks flame from hand,"Incantation originating from a sinister prophecy.

Momentarily sparks flame from the caster's hand.
This incantation can be cast without delay after performing another action.

The flame of ruin is anathema to the Erdtree. But prophets sometimes glimpse it within the faith all the same. Sadly when this occurs their sole reward is banishment.",0,8,0,1,10,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,16,6000,06200,60001,4,0,40,306000
"O, Flame!",Incantation,#REF!,Momentarily sparks roaring flame from hand,"Incantation of the Fire Monks.

Momentarily sparks roaring flame from the caster's hand.
Charging enhances potency.

The Giants' Flame still smolders upon the distant northern mountaintop, and the Fire Monks are its guardians.",0,16,0,1,16,-,24,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,White,No,Yes,0,6001,06201,60016,4,21,40,306010
